# unassigned_PDBID  line_TMscore_max  TMscore_max  corresponding_PDBID  corresponding_SCOPID  topology  topology_string
2L31_A  2656  0.62583  1PTQ_A  d1ptqa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
2BO1_A  1073  0.95254  1H7M_A  d1h7ma_  2-4-2    -A+0.+B+0.-C+0.+B+2.-C+1.+B+3.-A-1.-B+1.
1A7H_A  2228  0.75803  1NPS_A  d1npsa_  0-4+4-0  +E+0.-E+1.+B+0.-E-1.+B-2.-B-3.+E-2.-B-1.
2YNX_A  5620  0.91957  2IFQ_A  d2ifqa1  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
1MSJ_A  3557  0.98797  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
3M86_A  5534  0.80291  2H7W_A  d2h7wa1  0-3+4-0  +B+0.-E+0.+B-1.+B-3.-B-2.+E-2.-E-1.
2MMP_A  1246  0.43235  1IG4_A  d1ig4a_  0-4-1    +B+0.-B+1.+B+2.-B+3.+C+0.
2BO5_A  5054  0.51065  2CCQ_A  d2ccqa1  0-3-2    -A+0.+B+0.-A-1.+B-2.-B-1.
1AA2_A  2153  0.473    1NCS_A  d1ncsa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
2L32_A  4832  0.39157  2AL3_A  d2al3a1  0-5-1    +B+0.-B-1.+A+0.-B+2.+B+3.+B+1.
1MUL_A  154   0.92475  1B8Z_A  d1b8za_  0-3-1    -C+0.+B+0.-B+1.+B+2.
2YOI_A  3242  0.96657  1SYR_A  d1syra_  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
3M88_A  5534  0.80892  2H7W_A  d2h7wa1  0-3+4-0  +B+0.-E+0.+B-1.+B-3.-B-2.+E-2.-E-1.
2L33_A  436   0.78023  1DI2_A  d1di2a_  0-3-2    -C+0.+B+0.-B-1.+B-2.-C-1.
1MZL_A  3138  0.49853  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
1AA3_A  3682  0.39809  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
2YPM_A  3242  0.96547  1SYR_A  d1syra_  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
3M8A_A  154   0.45649  1B8Z_A  d1b8za_  0-3-1    -C+0.+B+0.-B+1.+B+2.
1MZM_A  3138  0.48683  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
1AAC_A  3131  0.98857  1SFD_A  d1sfda_  0-5+5-0  +E+0.+E-3.-E-4.-B+0.+E-2.-B+3.+B+4.-E-1.+B+2.-B+1.
3M9J_A  5620  0.96488  2IFQ_A  d2ifqa1  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
2YSS_A  2370  0.8556   1OAQ_L  d1oaql_  0-4+5-0  +E+0.-E-1.+B+0.-B-1.+B-2.-E-3.+E-2.-B+1.+B+2.
1N4Y_A  1365  0.69462  1J2L_A  d1j2la_  0-4-0    +B+0.+B+1.-B+3.+B+2.
1AAF_A  5211  0.28396  2DRP_A  d2drpa1  0-3-1    +B+0.-B-1.+B-2.-C+0.
2MMX_A  2370  0.87429  1OAQ_L  d1oaql_  0-4+5-0  +E+0.-E-1.+B+0.-B-1.+B-2.-E-3.+E-2.-B+1.+B+2.
3M9K_A  5620  0.98391  2IFQ_A  d2ifqa1  1-5-2    +B+0.-A+0.+B-2.-C+0.+B-1.-B-3.+B-4.-C-1.
1AAJ_A  3131  0.98806  1SFD_A  d1sfda_  0-5+5-0  +E+0.+E-3.-E-4.-B+0.+E-2.-B+3.+B+4.-E-1.+B+2.-B+1.
2YSS_B  3433  0.82252  1TVD_A  d1tvda_  0-4+4-0  +E+0.-E-1.+B+0.-B-1.+B-2.-E-3.+E-2.-B+1.
2BPN_A  3682  0.43573  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
3M9Q_B  5269  0.82657  2F5K_A  d2f5ka1  0-3+3-1  +E+0.-E+1.-B+0.+B-1.-B-2.-E-1.+A+0.
2L39_A  1184  0.62028  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
1AAL_A  880   0.96214  1G6X_A  d1g6xa_  0-3-1    +B+0.-B-1.-B+1.+C+0.
2YTV_A  276   0.7178   1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
1AAN_A  3131  0.98718  1SFD_A  d1sfda_  0-5+5-0  +E+0.+E-3.-E-4.-B+0.+E-2.-B+3.+B+4.-E-1.+B+2.-B+1.
3MA5_A  183   0.45766  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
2L3D_A  3138  0.59971  1SFU_A  d1sfua_  1-3-1    -A+0.+B+0.-C+0.-B-2.+B-1.
3MAB_A  2066  0.46146  1MSZ_A  d1msza_  0-3-2    -C+0.+B+0.-C+1.+B+2.-B+1.
1AAZ_A  49    0.94951  1ABA_A  d1abaa_  0-4-2    +B+0.-C+0.+B+1.-B-1.+B-2.-C-1.
1N8U_A  112   0.447    1AY7_B  d1ay7b_  0-3-2    +B+0.-A+0.+B-1.-A-1.+B-2.
2L3L_A  3367  0.44688  1TIG_A  d1tiga_  0-4-2    +B+0.-C+0.+B+1.-C+1.+B+3.-B+2.
3MAO_A  1789  0.64091  1L1D_A  d1l1da_  0-6+3-1  +E+0.-E+1.+B+0.-B+1.-B+5.+B+4.-B+3.+B+2.-E-1.-A+0.
1AB1_A  183   0.92104  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
2MMY_A  2219  0.73842  1NO8_A  d1no8a_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1N8V_A  112   0.4485   1AY7_B  d1ay7b_  0-3-2    +B+0.-A+0.+B-1.-A-1.+B-2.
1ACA_A  1173  0.46863  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
2BPS_A  5633  0.72555  2INC_C  d2incc1  0-2+3-0  +E+0.+E+1.-B+0.+B+1.+B-1.
3MD1_A  1063  0.79537  1H6K_X  d1h6kx_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1N9N_A  2137  0.98514  1N9L_A  d1n9la_  0-5-1    +B+0.-B-1.+C+0.-B+3.+B+2.-B+1.
2YTX_A  276   0.72044  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
1ACP_A  3693  0.48847  1UV7_A  d1uv7a_  0-2-2    +C+0.-C+1.+B+0.-B+1.
2BQ4_A  3059  0.41152  1S12_A  d1s12a_  0-5-0    +B+0.-B+1.-B+3.+B+2.+B-1.
3MDF_A  1063  0.87122  1H6K_X  d1h6kx_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1ACX_A  1378  0.93507  1J48_A  d1j48a_  0-3+4-0  +E+0.-E-1.+B+0.-B-1.+E-2.-B+1.+B+2.
1N9O_A  2137  0.98011  1N9L_A  d1n9la_  0-5-1    +B+0.-B-1.+C+0.-B+3.+B+2.-B+1.
3MEF_A  276   0.81221  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
2BRS_A  1081  0.99699  1H8U_A  d1h8ua_  1-6-1    +B+0.-A+0.+C+0.-B-2.+B-5.+B-3.-B-4.-B-1.
1AE7_A  860   0.86104  1G4I_A  d1g4ia_  0-2-2    +C+0.+B+0.-B-1.+C-1.
1NA3_A  183   0.46345  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
2L3M_A  2473  0.87968  1OSD_A  d1osda_  0-3-2    +B+0.-C+0.+B+2.-B+1.+C-1.
2MN3_A  205   0.4728   1BNB_A  d1bnba_  0-4-0    +B+0.-B+3.-B+1.+B+2.
2BTG_A  1071  0.34713  1H75_A  d1h75a_  1-4-2    +B+0.-C+0.+B+1.+A+0.-B-1.+B-2.-C-1.
1NAG_A  880   0.93319  1G6X_A  d1g6xa_  0-3-1    +B+0.-B-1.-B+1.+C+0.
1AF8_A  2094  0.5108   1MYN_A  d1myna_  0-3-1    +B+0.-C+0.+B+2.-B+1.
2BTH_A  3213  0.35371  1STU_A  d1stua_  0-3-1    +B+0.-B-1.+B-2.-C+0.
1NBF_C  5293  0.85827  2FAZ_A  d2faza1  0-5-2    +B+0.-B-1.+A+0.-B+2.+B+3.-A+1.+B+1.
2YTY_A  276   0.71277  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
2BTT_A  3475  0.79599  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1NDD_A  5007  0.88659  2BWF_A  d2bwfa1  0-3-2    +B+0.-B+1.+C+0.-C-1.+B-1.
3MFG_B  1057  0.82616  1H5B_A  d1h5ba_  0-4+5-0  +B+0.-B+1.+E+0.-E+1.+B+4.-B+3.+B+2.-E-1.+E-2.
1NEG_A  3475  0.97575  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
2MN4_A  734   0.46904  1FE0_A  d1fe0a_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
3MKL_A  183   0.52363  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
2L3N_A  4388  0.43547  1XMK_A  d1xmka1  1-3-2    +C+0.+B+0.+A+0.+B-2.-B-1.+C-1.
1NH5_A  60    0.67743  1AHO_A  d1ahoa_  0-3-1    +B+0.-C+0.+B+2.-B+1.
2MN5_A  2094  0.59623  1MYN_A  d1myna_  0-3-1    +B+0.-C+0.+B+2.-B+1.
2L3P_A  313   0.67603  1CKA_A  d1ckaa_  0-2+5-0  +B+0.-E+0.+E+1.-B-1.+B-2.-B-3.-B+1.
3MN2_A  183   0.52079  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1AG2_A  1184  0.54305  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
2BU4_A  1181  0.9985   1I0V_A  d1i0va_  0-2+5-0  +E+0.-E+1.-B+0.+B-1.-B-2.+B-3.-B-4.
2YV4_A  2400  0.48693  1OFU_X  d1ofux_  2-5-2    +B+0.-C+0.+B+3.-C+1.+B+4.-A+0.+B+2.-A-1.+B+1.
3MP9_A  5621  0.94085  2IGD_A  d2igda_  0-4-1    +B+0.-B-1.+A+0.-B+2.+B+1.
1AG6_A  2622  0.97182  1PLC_A  d1plca_  0-4+5-0  +E+0.-E-1.-B+0.+E+1.-B+3.+B+4.-E+2.+B+2.-B+1.
3MPC_A  1645  0.76962  1K85_A  d1k85a_  0-3+3-0  +E+0.-E-1.+B+0.-B-1.+E-2.-B+1.
2BV2_A  2228  0.77973  1NPS_A  d1npsa_  0-4+4-0  +E+0.-E+1.+B+0.-E-1.+B-2.-B-3.+E-2.-B-1.
2YVI_A  3107  0.51728  1SB6_A  d1sb6a_  0-3-2    +B+0.-C+0.+B+2.-B+1.+C-1.
1AGG_A  449   0.51747  1DL0_A  d1dl0a_  0-2+3-0  +E+0.-B+0.+E+1.-B+2.+B+1.
3MSI_A  3557  0.98221  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
1NH9_A  4962  0.84912  2BKY_A  d2bkya1  0-4-2    +B+0.-C+0.+B+1.-C+1.+B+3.-B+2.
2BVE_A  2775  0.98917  1QFO_A  d1qfoa_  0-4+4-0  +E+0.-E-1.+B+0.-B-1.-E-3.+E-2.-B+1.+B+2.
2YW8_A  3850  0.7927   1VFY_A  d1vfya_  0-3+2-1  +B+0.-B-2.+B-1.-E+0.+E+1.-A+0.
2MNT_A  1534  0.69798  1JNS_A  d1jnsa_  0-4-3    +B+0.-C+0.+C-1.-B-1.+C-2.+B+2.-B+1.
1AHL_A  205   0.48828  1BNB_A  d1bnba_  0-4-0    +B+0.-B+3.-B+1.+B+2.
3MSZ_A  1071  0.7353   1H75_A  d1h75a_  1-4-2    +B+0.-C+0.+B+1.+A+0.-B-1.+B-2.-C-1.
2YWK_A  1063  0.85694  1H6K_X  d1h6kx_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1NHL_A  3284  0.46994  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
2L3Q_A  3475  0.72756  1U06_A  d1u06a1  0-7      +B+0.-E+0.-B-4.+B-1.-B-2.+B-3.+E+1.
1AIW_A  563   0.58576  1ED7_A  d1ed7a_  0-2+3-0  +E+0.-B+0.+B+1.-E+1.-B+2.
2BVZ_A  1885  0.99765  1LOU_A  d1loua_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1NHO_A  785   0.56264  1FO5_A  d1fo5a_  0-4-2    +B+0.-C+0.+B+1.-B-1.+B-2.-C-1.
3MTS_A  5216  0.62015  2DY8_A  d2dy8a1  0-3-2    +B+0.-B-1.+B-2.-C+0.+C+1.
2YWQ_A  1803  0.66672  1L4S_A  d1l4sa_  0-4-2    +B+0.-C+0.+B-1.-B-2.+B-3.-C-1.
1AKP_A  1378  0.78094  1J48_A  d1j48a_  0-3+4-0  +E+0.-E-1.+B+0.-B-1.+E-2.-B+1.+B+2.
2BWB_A  2131  0.38844  1N8M_A  d1n8ma_  0-3-1    +B+0.-C+0.+B+2.-B+1.
3MUS_A  357   0.8769   1CXY_A  d1cxya_  1-5-2    +B+0.-A+0.+B-3.-B-2.+C+0.+B-4.-C+1.+B-1.
1NMW_A  1534  0.77771  1JNS_A  d1jnsa_  0-4-3    +B+0.-C+0.+C-1.-B-1.+C-2.+B+2.-B+1.
2YWY_A  3185  0.85793  1SQ2_N  d1sq2n_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1AME_A  3557  0.97887  1UCS_A  d1ucsa_  0-2+3-0  +B+0.-E+0.+B+1.-B-1.+E-1.
2BX5_A  2370  0.81887  1OAQ_L  d1oaql_  0-4+5-0  +E+0.-E-1.+B+0.-B-1.+B-2.-E-3.+E-2.-B+1.+B+2.
3MWZ_A  1771  0.7387   1KWI_A  d1kwia_  0-4-1    -C+0.+B+0.-B-1.+B-2.-B-3.
1NOA_A  5669  0.92015  2MCM_A  d2mcma_  0-7      +B+0.-B-1.-E+0.+E+1.-E-1.-B+2.+B+1.
1AUE_A  1173  0.51581  1HYW_A  d1hywa_  0-2-2    -C+0.+B+0.-B+1.+C+1.
2YWZ_A  3185  0.84608  1SQ2_N  d1sq2n_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
2BXJ_A  1885  0.98065  1LOU_A  d1loua_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
3MX7_A  3350  0.47596  1TFI_A  d1tfia_  0-4-0    +B+0.-B-1.+B-2.-B-3.
2MNY_A  2656  0.44678  1PTQ_A  d1ptqa_  0-3-1    +B+0.-B+1.+B+2.-A+0.
1AVS_A  739   0.44662  1FF1_A  d1ff1a_  0-2-2    +B+0.-A+0.-B-1.+A+1.
2L3U_A  3330  0.39504  1TBU_A  d1tbua1  0-6-1    +B+0.-B-1.+C+0.-B-5.+B-2.-B-3.+B-4.
1NPI_A  5750  0.77615  2SN3_A  d2sn3a_  0-3-1    +B+0.-C+0.+B+2.-B+1.
2YX8_A  5608  0.4727   2IBO_A  d2iboa1  1-4-2    +B+0.-A+0.+B-2.-B-1.+A+1.-B+1.+C+0.
2BYE_A  5037  0.71347  2C5L_C  d2c5lc1  0-5-2    +B+0.-B+1.+C+0.-B-2.+B-3.-C-1.+B-1.
2MO0_A  276   0.83568  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
3MXZ_A  819   0.60855  1FXK_A  d1fxka_  0-2-2    -C+0.+B+0.-B+1.+C+1.
1NR2_A  1989  0.86353  1M8A_A  d1m8aa_  0-3-1    +B+0.-B-1.+B-2.-C+0.
1AXQ_A  1082  0.94909  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
2YXC_A  3682  0.44227  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
1NTE_A  2917  0.96676  1R6J_A  d1r6ja_  0-4-1    +B+0.+B+2.-B+3.+C+0.-B+1.
3MYA_A  138   0.40937  1B4B_A  d1b4ba_  0-4-2    +B+0.-B-1.+C+0.-B-3.+B-2.-C+1.
1AYD_A  113   0.9533   1AYA_A  d1ayaa_  1-5-1    +B+0.-A+0.+B-1.-B-2.+B-3.-B-4.-C+0.
2YXF_A  1635  0.85417  1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1NTN_A  740   0.80991  1FF4_A  d1ff4a_  0-4-0    +B+0.+B+2.-B+1.-B+3.
3MYC_A  138   0.39566  1B4B_A  d1b4ba_  0-4-2    +B+0.-B-1.+C+0.-B-3.+B-2.-C+1.
1B0T_A  1082  0.94918  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
1NVL_A  3162  0.4453   1SJ1_A  d1sj1a_  0-3+2-1  +B+0.-A+0.+E+0.-E+1.-B-1.-B+1.
3MYE_X  138   0.40862  1B4B_A  d1b4ba_  0-4-2    +B+0.-B-1.+C+0.-B-3.+B-2.-C+1.
2YXM_A  844   0.81306  1G1C_A  d1g1ca_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
2L3X_A  2113  0.41114  1N4N_A  d1n4na_  0-3-1    +B+0.-C+0.+B+2.-B+1.
3MYZ_A  1635  0.89669  1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
1B0V_A  1082  0.94892  1H98_A  d1h98a_  0-2-2    +B+0.-C+0.+C-1.-B-1.
1NXB_A  5537  0.73403  2H8U_A  d2h8ua1  0-2+3-0  +E+0.-E+1.+B+0.-B+1.-B-1.
2MO1_A  276   0.82373  1C9O_A  d1c9oa_  0-4+4-0  +E+0.-B+0.+B-1.-B-2.+E+3.+B+1.-E+1.+E+2.
2YXQ_B  3284  0.37313  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
2BYF_A  5037  0.83561  2C5L_C  d2c5lc1  0-5-2    +B+0.-B+1.+C+0.-B-2.+B-3.-C-1.+B-1.
1NZ6_A  3162  0.4249   1SJ1_A  d1sj1a_  0-3+2-1  +B+0.-A+0.+E+0.-E+1.-B-1.-B+1.
3MZT_A  1635  0.91084  1K5N_B  d1k5nb_  0-3+4-0  +B+0.-B+1.+E+0.-B+3.+B+2.-E-1.+E-2.
2YXR_B  3284  0.37347  1T3U_A  d1t3ua_  0-2-2    +B+0.-B+1.+C+0.-C+1.
1B0Y_A  5557  0.80521  2HIP_A  d2hipa_  0-2+4-0  +B+0.+E+0.+B-3.-B-2.+B-1.-E-1.
2YY3_A  704   0.82597  1F60_B  d1f60b_  0-4-2    +B+0.-C+0.+B+2.-B+1.+C-1.-B-1.
1NZL_A  1861  0.89355  1LKK_A  d1lkka_  1-6-1    +B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.-C+0.
1B13_A  5213  0.94715  2DSX_A  d2dsxa1  0-2+3-0  +B+0.-B-1.+E+0.-E-1.-B+1.
3MZW_B  183   0.42996  1BHP_A  d1bhpa_  0-2-2    +B+0.-A+0.+A+1.-B+1.
1B1G_A  1407  0.55482  1J7Q_A  d1j7qa_  0-2-2    -A+0.+B+0.+A+1.+B+1.
2YYW_A  3682  0.43735  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
3MZZ_A  945   0.75221  1GMX_A  d1gmxa_  2-5-3    +B+0.-A+0.+B-3.-A-2.+B-4.-C+0.+B-2.-C+1.+B-1.-A-1.
1NZV_A  1861  0.89127  1LKK_A  d1lkka_  1-6-1    +B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.-C+0.
2L3Z_A  4171  0.73049  1WM3_A  d1wm3a_  0-5-1    +B+0.-B+1.+C+0.-B-2.+B-3.+B-1.
1B20_A  16    0.99402  1A2P_A  d1a2pa_  1-6-1    +C+0.+B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.
2YYX_A  3682  0.44268  1UTX_A  d1utxa_  0-2-2    +B+0.-C+0.+C-1.+B-1.
3N30_A  5293  0.88191  2FAZ_A  d2faza1  0-5-2    +B+0.-B-1.+A+0.-B+2.+B+3.-A+1.+B+1.
1O41_A  1861  0.91154  1LKK_A  d1lkka_  1-6-1    +B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.-C+0.
2MOG_A  139   0.60503  1B4R_A  d1b4ra_  0-3+4-0  +E+0.-E-1.+B+0.-B-1.+E-2.-B+1.+B+2.
2L40_A  1184  0.64175  1I17_A  d1i17a_  1-3-2    +B+0.+B+1.+B-1.-C+0.-A+0.+C+1.
1B21_A  16    0.9905   1A2P_A  d1a2pa_  1-6-1    +C+0.+B+0.-A+0.+B-1.-B-2.+B-3.-B-4.+B-5.
3N32_A  5293  0.88713  2FAZ_A  d2faza1  0-5-2    +B+0.-B-1.+A+0.-B+2.+B+3.-A+1.+B+1.
